,variable,coefs
0,neighborhood_GrnHill,0.00045206034415967174
1,id fireplaces,0.005744030396896792
2,id bsmt_exposure_Gd,0.002668195014733162
3,pid fireplaces,0.005731638944075214
4,pid neighborhood_GrnHill,0.00045206044023696375
5,lot_frontage neighborhood_Crawfor,-0.0014360912116312729
6,lot_frontage neighborhood_NridgHt,0.007943416256068226
7,lot_frontage sale_type_New,0.008580601037218426
8,lot_area bsmt_full_bath,0.0005679507133737
9,lot_area built_2003_or_newer,0.006121076815719083
10,lot_area mas_vnr_type_Stone,0.0029548159294963687
11,lot_area heating_qc_Po,-0.012354218787922925
12,overall_qual fireplaces,0.0043192127891397755
13,overall_qual garage_yr_blt,0.015865223410687437
14,overall_qual lot_area_log,0.050033746186153125
15,overall_qual neighborhood_GrnHill,0.00045206034415944346
16,overall_cond total_bsmt_sf,0.027021609119242826
17,overall_cond gr_liv_area,0.039957044637598235
18,overall_cond garage_cars,0.00989998748819154
19,overall_cond lot_area_log,0.006272276051741197
20,overall_cond neighborhood_GrnHill,0.00045206034415931715
21,overall_cond heating_Grav,-0.0076017679877097375
22,overall_cond functional_Sal,-0.024170263819974218
23,year_built year_remod/add,0.021000669292480866
24,year_built gr_liv_area_log,0.056004552037845066
25,year_built neighborhood_GrnHill,0.0004525194261531825
26,year_remod/add^2,0.008149069912285674
27,year_remod/add 1st_flr_sf_log,0.01033952216422539
28,year_remod/add neighborhood_GrnHill,0.00045251942615315635
29,mas_vnr_area years_since_built_sqrt_new,0.00162566832313295
30,mas_vnr_area mas_vnr_type_Stone,0.0034528923695648886
31,mas_vnr_area foundation_PConc,0.008230562306335138
32,bsmtfin_sf_1 years_since_built_sqrt_new,-0.0006917950591531157
33,bsmtfin_sf_1 years_since_bgarage_yr_blt_sqrt_new,0.007298595133612829
34,bsmtfin_sf_1 lot_config_Inside,0.006707342738385045
35,bsmtfin_sf_1 neighborhood_Somerst,0.004056760593188102
36,bsmtfin_sf_1 condition_1_Norm,0.006411493170002693
37,bsmtfin_sf_1 exter_cond_TA,0.006130033482402306
38,bsmtfin_sf_1 bsmtfin_type_2_Unf,-0.0014168927692375273
39,bsmt_unf_sf neighborhood_Edwards,-0.004205370397005791
40,bsmt_unf_sf kitchen_qual_TA,-0.003205521479193463
41,total_bsmt_sf bsmt_full_bath,0.004755561014330291
42,total_bsmt_sf functional_Typ,0.01297049275165584
43,1st_flr_sf ms_zoning_FV,0.004088675224929619
44,1st_flr_sf bsmt_exposure_Gd,0.008553475831066715
45,1st_flr_sf functional_Sev,-0.010934766662660498
46,gr_liv_area bsmt_full_bath,0.00630705687961533
47,gr_liv_area has_fireplace,0.004004876447457418
48,gr_liv_area years_since_built_sqrt_new,0.013247169466918484
49,gr_liv_area neighborhood_StoneBr,0.008809451263324216
50,gr_liv_area foundation_PConc,0.009244441504965475
51,gr_liv_area functional_Typ,0.019216828769033915
52,gr_liv_area sale_type_New,-0.002494254845304349
53,bsmt_full_bath open_porch_sf,0.001393900954343365
54,bsmt_full_bath garage_type_Attchd,0.003484960261683052
55,full_bath neighborhood_StoneBr,-0.0007974624603492235
56,full_bath garage_qual_Po,-0.004537960707507451
57,half_bath neighborhood_Crawfor,0.0077813134209285964
58,bedroom_abvgr garage_qual_Po,-0.004537960707507468
59,kitchen_abvgr years_since_built_sqrt,-0.01520517964369072
60,kitchen_abvgr neighborhood_GrnHill,0.00045206034415965326
61,totrms_abvgrd neighborhood_StoneBr,0.005229671243964947
62,fireplaces mas_vnr_type_Stone,0.006982999000015621
63,garage_yr_blt bsmtfin_sf_1_log,0.0015697461854990785
64,garage_yr_blt bldg_type_Duplex,-0.006739515393024567
65,garage_yr_blt ms_subclass_90,-0.0067395153930245606
66,garage_cars central_air_Y,0.011702230991121026
67,garage_area open_porch_sf,0.005720228076186617
68,garage_area neighborhood_GrnHill,0.0004449829880715077
69,garage_area bsmt_qual_Fa,-0.005955774393305806
70,garage_area central_air_Y,0.002366863737674623
